AnatomicalEntity,active_in,AnatomicalEntity
AnatomicalEntity,active_in,BiologicalEntity
AnatomicalEntity,active_in,BiologicalProcess
AnatomicalEntity,active_in,BiologicalProcessOrActivity
AnatomicalEntity,active_in,Cell
AnatomicalEntity,active_in,CellularComponent
AnatomicalEntity,active_in,ChemicalEntity
AnatomicalEntity,active_in,ChemicalOrDrugOrTreatment
AnatomicalEntity,active_in,ChemicalSubstance
AnatomicalEntity,active_in,Entity
AnatomicalEntity,active_in,GeneOrGeneProduct
AnatomicalEntity,active_in,GrossAnatomicalStructure
AnatomicalEntity,active_in,MacromolecularComplexMixin
AnatomicalEntity,active_in,MacromolecularMachineMixin
AnatomicalEntity,active_in,MolecularActivity
AnatomicalEntity,active_in,NamedThing
AnatomicalEntity,active_in,Occurrent
AnatomicalEntity,active_in,OntologyClass
AnatomicalEntity,active_in,OrganismalEntity
AnatomicalEntity,active_in,PhysicalEssence
AnatomicalEntity,active_in,PhysicalEssenceOrOccurrent
AnatomicalEntity,active_in,ThingWithTaxon
AnatomicalEntity,actively_involved_in,AnatomicalEntity
AnatomicalEntity,actively_involved_in,Annotation
AnatomicalEntity,actively_involved_in,Attribute
AnatomicalEntity,actively_involved_in,Behavior
AnatomicalEntity,actively_involved_in,BiologicalEntity
AnatomicalEntity,actively_involved_in,BiologicalProcess
AnatomicalEntity,actively_involved_in,BiologicalProcessOrActivity
AnatomicalEntity,actively_involved_in,Cell
AnatomicalEntity,actively_involved_in,CellularComponent
AnatomicalEntity,actively_involved_in,ChemicalEntity
AnatomicalEntity,actively_involved_in,ChemicalOrDrugOrTreatment
AnatomicalEntity,actively_involved_in,ChemicalSubstance
AnatomicalEntity,actively_involved_in,DiseaseOrPhenotypicFeature
AnatomicalEntity,actively_involved_in,Entity
AnatomicalEntity,actively_involved_in,EnvironmentalProcess
AnatomicalEntity,actively_involved_in,GeneOrGeneProduct
AnatomicalEntity,actively_involved_in,GrossAnatomicalStructure
AnatomicalEntity,actively_involved_in,MacromolecularComplexMixin
AnatomicalEntity,actively_involved_in,MacromolecularMachineMixin
AnatomicalEntity,actively_involved_in,MolecularActivity
AnatomicalEntity,actively_involved_in,NamedThing
AnatomicalEntity,actively_involved_in,Occurrent
AnatomicalEntity,actively_involved_in,OntologyClass
AnatomicalEntity,actively_involved_in,OrganismalEntity
AnatomicalEntity,actively_involved_in,OrganismAttribute
AnatomicalEntity,actively_involved_in,PathologicalEntityMixin
AnatomicalEntity,actively_involved_in,Pathway
AnatomicalEntity,actively_involved_in,PhenotypicFeature
AnatomicalEntity,actively_involved_in,PhenotypicQuality
AnatomicalEntity,actively_involved_in,PhysicalEssence
AnatomicalEntity,actively_involved_in,PhysicalEssenceOrOccurrent
AnatomicalEntity,actively_involved_in,PlanetaryEntity
AnatomicalEntity,actively_involved_in,ThingWithTaxon
AnatomicalEntity,actively_involves,AnatomicalEntity
AnatomicalEntity,actively_involves,Behavior
AnatomicalEntity,actively_involves,BiologicalEntity
AnatomicalEntity,actively_involves,BiologicalProcess
AnatomicalEntity,actively_involves,BiologicalProcessOrActivity
AnatomicalEntity,actively_involves,Cell
AnatomicalEntity,actively_involves,CellularComponent
AnatomicalEntity,actively_involves,Entity
AnatomicalEntity,actively_involves,EnvironmentalProcess
AnatomicalEntity,actively_involves,GrossAnatomicalStructure
AnatomicalEntity,actively_involves,MacromolecularComplexMixin
AnatomicalEntity,actively_involves,MacromolecularMachineMixin
AnatomicalEntity,actively_involves,MolecularActivity
AnatomicalEntity,actively_involves,NamedThing
AnatomicalEntity,actively_involves,Occurrent
AnatomicalEntity,actively_involves,OntologyClass
AnatomicalEntity,actively_involves,OrganismalEntity
AnatomicalEntity,actively_involves,Pathway
AnatomicalEntity,actively_involves,PhysicalEssence
AnatomicalEntity,actively_involves,PhysicalEssenceOrOccurrent
AnatomicalEntity,actively_involves,PlanetaryEntity
AnatomicalEntity,actively_involves,ThingWithTaxon
AnatomicalEntity,acts_upstream_of,AnatomicalEntity
AnatomicalEntity,acts_upstream_of,Annotation
AnatomicalEntity,acts_upstream_of,Attribute
AnatomicalEntity,acts_upstream_of,Behavior
AnatomicalEntity,acts_upstream_of,BiologicalEntity
AnatomicalEntity,acts_upstream_of,BiologicalProcess
AnatomicalEntity,acts_upstream_of,BiologicalProcessOrActivity
AnatomicalEntity,acts_upstream_of,Cell
AnatomicalEntity,acts_upstream_of,CellularComponent
AnatomicalEntity,acts_upstream_of,ChemicalEntity
AnatomicalEntity,acts_upstream_of,ChemicalOrDrugOrTreatment
AnatomicalEntity,acts_upstream_of,ChemicalSubstance
AnatomicalEntity,acts_upstream_of,DiseaseOrPhenotypicFeature
AnatomicalEntity,acts_upstream_of,Entity
AnatomicalEntity,acts_upstream_of,EnvironmentalProcess
AnatomicalEntity,acts_upstream_of,GeneOrGeneProduct
AnatomicalEntity,acts_upstream_of,GrossAnatomicalStructure
AnatomicalEntity,acts_upstream_of,MacromolecularComplexMixin
AnatomicalEntity,acts_upstream_of,MacromolecularMachineMixin
AnatomicalEntity,acts_upstream_of,MolecularActivity
AnatomicalEntity,acts_upstream_of,NamedThing
AnatomicalEntity,acts_upstream_of_negative_effect,AnatomicalEntity
AnatomicalEntity,acts_upstream_of_negative_effect,Behavior
AnatomicalEntity,acts_upstream_of_negative_effect,BiologicalEntity
AnatomicalEntity,acts_upstream_of_negative_effect,BiologicalProcess
AnatomicalEntity,acts_upstream_of_negative_effect,BiologicalProcessOrActivity
AnatomicalEntity,acts_upstream_of_negative_effect,CellularComponent
